Dr.,Doctor
Mr.,Mister
Mrs.,Missus
Ms.,Miss
etc.,et cetera
Ltd.,Limited
Co.,Company
Pvt.,Private
Abbr.,Abbreviation
Acad.,Academy
A.M.,Ante Meridiem
a.m.,Ante Meridiem
P.M.,Post Meridiem
p.m.,Post Meridiem
Ave.,Avenue
B.A.,Bachelors in Arts
M.A.,Masters in Arts
B.E.,Bachelors in Engineering
M.E.,Masters in Engineering
B.Tech.,Bachelors in Technology
M.Tech.,Masters in Technology
B.S.,Bachelors in Science
M.S.,Masters in Science
Corp.,Corporation
Dept.,Department
Div.,Division
Est.,Established
Estd.,Established
Gov.,Government
Govt.,Government
hr.,hour
Inc.,Incorporated
Inst.,Institution
Jr.,Junior
U.S.,United States
U.S.A.,United States of America
U.K.,United Kingdom
w.r.t.,with respect to
i.e.,that is
Jan.,January
Feb.,February
Mar.,March
Apr.,April
Jun.,June
Jul.,July
Aug.,August
Sept.,September
Oct.,October
Nov.,November
Dec.,December
Mon.,Monday
Tue.,Tuesday
Wed.,Wednesday
Thu.,Thursday
Fri.,Friday
Sat.,Saturday
Sun.,Sunday
A.I.,Artificial Intelligence
P.P.F.,Public Provident Fund
dist.,distance
min.,minimum
max.,maximum
